id,time,fine
174,367,6756
175,527,8885
176,109,2087
177,320,3941
178,723,3388
179,502,3413
180,547,9758
181,634,2787
182,268,7768
183,793,9485
184,298,8968
185,841,7804
186,95,5679
187,145,2159
188,120,1546
189,653,1174
190,410,5486
191,924,7531
192,823,7519
193,906,5595
194,8,8546
195,655,407
196,545,6906
197,673,6288
198,772,5164
199,483,4817
200,973,1421
201,99,324
202,834,4067
203,964,596
204,769,305
205,142,2969
206,851,8178
207,696,6065
208,12,4674
209,571,2953
210,711,7019
211,924,4225
212,512,5607
213,771,4948
214,765,2635
215,407,7605
216,280,5089
217,507,7505
218,452,3113
219,769,3823
220,791,6220
221,750,1910
222,327,3641
223,666,2797
224,102,2338
225,708,4236
226,460,1812
227,419,9631
228,930,5323
229,957,4541
230,145,7046
231,134,8363
232,220,2777
233,241,7641
234,463,3023
235,243,2010
236,919,4605
237,597,6344
238,140,4597
239,934,9263
240,498,1241
241,405,2641
242,623,8310
243,632,3175
244,67,5905
245,950,7941
246,655,2563
247,339,1436
248,428,1226
249,249,7580
250,589,6890
251,846,9843
252,186,9859
253,456,2442
254,56,1677
255,918,7741
256,734,7906
257,215,8674
258,848,1708
259,612,6198
260,138,5914
261,828,562
262,349,3145
263,370,167
264,746,3776
265,17,8618
266,812,3686
267,896,4862
268,655,997
269,674,703
270,796,8063
271,968,1943
272,968,1529
273,236,8534
274,731,8815
275,80,848
276,761,5221
277,365,5907
278,425,2461
279,236,2734
280,704,6522
281,559,9604
282,817,2515
283,864,6455
284,157,823
285,885,8889
286,183,1952
287,832,1204
288,737,4150
289,316,9420
290,619,820
291,40,6747
292,5,731
293,191,4404
294,489,1430
295,951,9426
296,29,7544
297,411,4510
298,316,6197
299,19,6274
300,514,824
301,128,5904
302,107,8696
303,197,8959
304,378,3196
305,367,8512
306,258,4996
307,78,6406
308,161,614
309,43,5268
310,45,7001
311,545,6346
312,855,6425
313,621,955
314,580,4522
315,345,9640
316,543,5093
317,140,4472
318,783,9001
319,548,9336
320,199,8160
321,508,8914
322,671,5808
323,421,1585
324,205,8831
325,832,4816
326,161,4249
327,674,6728
328,34,8367
329,888,3294
330,933,3965
331,57,8232
332,704,4827
333,828,5548
334,883,2486
335,997,8727
336,641,5433
337,240,2856
338,793,9311
339,494,7660
340,475,3997
341,245,6677
342,404,9987
343,353,5270
344,564,3789
345,753,1240
346,824,1496
347,323,3161
348,708,4879
349,716,6502
350,228,9942
351,374,7064
352,920,9220
353,531,2965
354,976,7064
355,412,9376
356,52,5803
357,789,2008
358,278,5807
359,595,4142
360,733,5841
361,688,7347
362,859,7556
363,786,6362
364,863,1918
365,211,2501
366,565,4443
367,14,9936
368,900,5836
369,251,4896
370,271,9875
371,677,6662
372,669,322
373,128,1466
374,959,5946
375,786,5722
376,420,3691
377,599,1826
378,187,2630
379,547,6384
380,885,7402
381,844,2757
382,692,4801
383,988,8209
384,105,5591
385,818,6238
386,899,7375
387,697,3846
388,663,1567
389,865,176
390,250,3621
391,664,2002
392,827,1669
393,651,1262
394,997,2014
395,767,5197
396,306,9233
397,33,3962
398,170,6997
399,940,1020
400,257,5274
401,649,757
402,954,6507
403,426,6697
404,224,2617
405,589,8290
406,643,5473
407,494,6252
408,865,470
409,835,4144
410,692,4214
411,446,4601
412,562,9997
413,994,3831
414,202,731
415,357,5933
416,41,4811
417,317,1357
418,53,3994
419,962,5742
420,383,1276
421,101,5551
422,802,7026
423,847,6594
424,89,2019
425,232,2681
426,633,2780
427,777,6029
428,859,2194
429,276,9770
430,54,1061
431,871,7984
432,340,1446
433,791,7187
434,281,7392
435,20,4753
436,303,9663
437,40,4472
438,65,8456
439,474,6886
440,566,4505
441,284,3057
442,86,9550
443,95,60
444,181,8944
445,356,7371
446,354,8234
447,31,2226
448,765,1046
449,437,7822
450,574,5045
451,59,9808
452,631,2876
453,683,4099
454,336,8047
455,551,4509
456,565,6902
457,451,9835
458,246,3002
459,298,898
460,268,2427
461,12,4653
462,231,9973
463,18,3043
464,864,8995
465,391,5807
466,966,9789
467,664,7801
468,251,8949
469,995,6698
470,206,5587
471,840,9546
472,732,5123
473,124,1642
474,539,1977
475,403,2773
476,426,7158
477,483,7767
478,809,7008
479,354,852
480,10,8024
481,812,9096
482,896,1328
483,276,6827
484,524,1499
485,437,7270
486,815,1082
487,204,2276
488,269,8898
489,875,679
490,452,2808
491,317,1629
492,395,7229
493,236,9799
494,3,6555
495,930,6589
496,684,12
497,339,8741
498,919,8931
499,781,1614
500,236,5443
501,876,217
502,492,8402
503,300,9079
504,109,2761
505,920,8174
506,154,9560
507,140,4588
508,387,1901
509,455,7375
510,315,7741
511,752,5737
512,477,2350
513,396,1281
514,413,3408
515,643,8190
516,65,4630
517,473,7045
518,696,6495
519,603,2585
520,504,5221
521,374,8515
522,654,9092
523,830,3274
524,81,5381
525,695,7570
526,673,3817
527,645,4397
528,677,7115
529,875,7392
530,581,6441
531,70,5517
532,913,2997
533,843,4543
534,127,9608
535,828,8446
536,312,7983
537,426,2554
538,827,1317
539,697,3255
540,176,259
541,427,8744
542,140,5200
543,667,1424
544,815,5168
545,608,5541
546,409,748
547,96,2678
548,220,6322
549,929,5939
550,384,698
551,680,7109
552,662,4047
553,363,2105
554,711,1840
555,451,2060
556,803,5238
557,438,8877
558,652,3942
559,109,9104
560,996,1819
561,566,716
562,745,8404
563,725,2661
564,599,3316
565,14,7006
566,466,9334
567,732,9045
568,150,127
569,318,5095
570,154,9212
571,450,6768
572,997,4308
573,601,1239
574,694,8648
575,466,61
576,128,7689
577,92,9383
578,396,6873
579,188,7169
580,526,3346
581,32,553
582,598,7343
583,821,8763
584,857,7099
585,662,2138
586,906,7362
587,21,7111
588,701,902
589,901,2621
590,681,1394
591,82,2719
592,101,6161
593,33,1526
594,46,6848
595,194,9572
596,477,1923
597,265,9225
598,339,6074
599,524,3085
600,222,8196
601,909,2185
602,648,479
603,732,9930
604,550,348
605,742,3633
606,703,1583
607,743,7175
608,52,1155
609,3,7127
610,50,97
611,371,4548
612,772,9526
613,951,7635
614,71,4462
615,657,1474
616,11,8645
617,123,4566
618,847,5658
619,5,6855
620,839,9748
621,330,4098
622,273,5893
623,47,5424
624,902,2676
625,773,5049
626,948,1952
627,477,1143
628,130,6071
629,533,3428
630,253,2200
631,844,3189
632,106,1263
633,272,6319
634,173,4952
635,700,5629
636,726,6363
637,255,2381
638,157,7350
639,378,5653
640,702,3058
641,9,9150
642,644,3001
643,72,2838
644,617,1773
645,325,9604
646,144,221
647,484,7520
648,838,3250
649,553,1107
650,735,3362
651,76,5604
652,337,2813
653,514,8330
654,983,8493
655,550,2891
656,392,1036
657,36,2911
658,100,5036
659,160,9459
660,62,4716
661,936,9836
662,356,8206
663,807,2771
664,230,7545
665,259,2359
666,315,3316
667,128,3334
668,16,8651
669,143,8994
670,236,8350
671,737,5044
672,306,6628
673,15,6124
674,583,6405
675,472,7526
676,714,4644
677,201,8760
678,882,7421
679,965,7007
680,718,8111
681,427,2223
682,909,32
683,34,3906
684,899,9924
685,273,2176
686,571,1135
687,114,4009
688,132,7877
689,633,8480
690,5,2066
691,710,8105
692,216,9718
693,490,2262
694,269,1097
695,208,8455
696,29,1338
697,721,634
698,891,5289
699,212,2754
700,281,3790
701,276,9836
702,196,4851
703,79,1741
704,220,6680
705,745,9712
706,168,2576
707,294,1806
708,68,7383
709,831,2135
710,589,9688
711,25,4038
712,23,3970
713,258,8745
714,850,1914
715,55,822
716,657,9130
717,332,3330
718,422,7205
719,884,9411
720,474,1641
721,216,8980
722,138,5993
723,727,2861
724,996,1205
725,244,4557
726,595,1936
727,905,8268
728,364,5969
729,882,1515
730,336,1213
731,694,6288
732,617,9344
733,548,7025
734,435,1038
735,30,6783
736,115,8260
737,252,3246
738,458,9252
739,456,3978
740,535,7453
741,389,7699
742,318,3481
743,449,1645
744,159,2033
745,597,3683
746,970,5494
747,190,6290
748,314,5939
749,328,7737
750,872,6101
751,360,2358
752,955,2986
753,237,4964
754,293,4412
755,865,9044
756,742,179
757,659,7605
758,249,5411
759,443,9460
760,494,8760
761,605,7039
762,680,9463
763,753,1794
764,531,2993
765,445,5081
766,790,402
767,387,6157
768,120,5744
769,155,1975
770,18,2764
771,943,8371
772,327,4111
773,521,2953
774,764,1576
775,687,3315
776,705,8257
777,72,7291
778,437,2736
779,728,5824
780,256,4967
781,720,7525
782,681,1045
783,788,1458
784,784,1152
785,915,3295
786,665,801
787,911,6857
788,162,3992
789,919,783
790,449,4925
791,182,4957
792,599,3505
793,240,7253
794,428,4035
795,353,1967
796,843,6684
797,728,3424
798,881,9523
799,26,868
800,162,4664
801,816,941
802,149,2178
803,521,6726
804,860,310
805,587,791
806,747,4308
807,812,4768
808,372,4346
809,732,4051
810,370,7799
811,482,85
812,508,8212
813,87,8562
814,429,4741
815,756,1112
816,404,9942
817,119,7572
818,649,2553
819,214,4640
820,782,4509
821,816,7152
822,919,3881
823,578,2980
824,30,6642
825,793,9309
826,393,5751
827,315,5274
828,187,2901
829,641,4401
830,864,9615
831,556,3396
832,319,268
833,172,8027
834,18,7968
835,476,4737
836,889,799
837,679,7643
838,622,159
839,801,9256
840,917,4004
841,106,7593
842,218,4309
843,561,6420
844,172,9405
845,371,7553
846,301,9036
847,655,1279
848,657,4619
849,586,4826
850,562,4674
851,472,1413
852,56,7802
853,961,6503
854,110,6029
855,32,4761
856,705,7026
857,687,2490
858,909,7922
859,678,1247
860,800,6081
861,468,5401
862,679,6100
863,70,7122
864,947,2335
865,360,9656
866,420,7860
867,662,5183
868,37,6475
869,504,3622
870,734,147
871,524,8887
872,376,3438
873,711,1210
874,457,6637
875,717,7741
876,141,7608
877,59,4184
878,657,6171
879,857,7128
880,135,9603
881,814,4568
882,750,555
883,381,9475
884,448,7787
885,933,5884
886,771,533
887,322,7808
888,18,2498
889,134,4385
890,125,1474
891,433,8202
892,385,1617
893,139,5491
894,970,6393
895,995,5347
896,914,2105
897,11,6161
898,987,9663
899,801,2391
900,275,1435
901,319,8085
902,893,9397
903,246,8641
904,377,4910
905,735,7380
906,581,7853
907,469,8167
908,657,4318
909,710,9959
910,305,8978
911,82,3057
912,217,5218
913,232,6444
914,835,1203
915,989,5033
916,117,3461
917,209,7308
918,300,5361
919,270,7454
920,833,1676
921,880,9356
922,522,414
923,731,5348
924,306,7530
925,508,1792
926,848,6962
927,531,3941
928,385,4064
929,267,9762
930,146,9219
931,31,607
932,914,615
933,975,8239
934,692,6565
935,592,2597
936,952,525
937,290,471
938,170,9474
939,355,8372
940,163,3827
941,788,9862
942,155,5011
943,426,9318
944,432,539
945,109,7044
946,651,6577
947,191,5139
948,729,1916
949,833,9518
950,114,5420
951,296,9424
952,247,4065
953,890,9585
954,956,8416
955,243,3245
956,30,9458
957,612,5833
958,258,8700
959,131,6502
960,962,4654
961,304,707
962,250,452
963,180,571
964,403,3767
965,232,5600
966,895,4827
967,425,6296
968,186,3832
969,787,5840
970,434,5782
971,239,2609
972,441,7464
973,515,1203
974,56,6051
975,704,6645
976,703,3018
977,469,9359
978,929,7952
979,70,3649
980,600,5332
981,510,301
982,949,9846
983,29,3934
984,125,9134
985,267,8168
986,776,559
987,374,6505
988,59,9217
989,267,6888
990,884,8115
991,132,2322
992,680,3586
993,890,952
994,952,1608
995,291,5959
996,260,2903
997,749,6152
998,437,9208
999,693,9129
1000,296,2562
